course_id,instructor_id,room_id,timeslot_id,course_name,room_number,day,time
1,0be1929c-a780-4078-9e98-6df4cf99c936,4,79,Expanded web-enabled core,541,Wednesday,14:00
1,0eb47436-5e7e-4cba-99f5-fad4a55378c2,7,49,Expanded web-enabled core,502,Friday,15:00
1,0fc1c0b7-84d2-4abf-91e6-e4a36a1436be,12,71,Expanded web-enabled core,524,Friday,17:00
1,12fa2bc8-2060-41f1-a8ce-0ad8dc7c31e6,28,44,Expanded web-enabled core,707,Thursday,15:00
1,1a544d73-a68c-4d6c-8d83-98d999716ab5,18,34,Expanded web-enabled core,198,Wednesday,13:00
1,2086fb93-7036-4127-b46f-14b11794fd56,25,5,Expanded web-enabled core,773,Friday,10:00
1,21f1397e-1a61-401a-bc67-1e74523bf8d8,17,39,Expanded web-enabled core,403,Tuesday,18:00
1,295c30fe-615a-4769-bade-21c7e3e975a9,23,76,Expanded web-enabled core,600,Friday,11:00
1,2d1f121d-f3ba-48f9-aff2-b38da7db30cf,15,80,Expanded web-enabled core,663,Monday,15:00
1,2f638a13-eb24-4d61-ad54-7aaf0b822823,19,71,Expanded web-enabled core,460,Friday,17:00
1,309c4ad8-2776-4955-b1b5-8ab5409090ad,4,31,Expanded web-enabled core,541,Thursday,17:00
1,449de61b-f2b5-406f-8445-17b960996d0a,1,70,Expanded web-enabled core,305,Friday,16:00
1,55a493f1-a88a-4fe2-b666-b93388223926,10,90,Expanded web-enabled core,834,Thursday,09:00
1,57a87455-1a19-4d48-90c9-bd9040670f85,19,79,Expanded web-enabled core,460,Wednesday,14:00
1,5922b91c-31eb-443e-b15f-acbae8cf8831,22,36,Expanded web-enabled core,958,Friday,14:00
1,59424c88-808c-4285-b95a-607928e016a1,26,69,Expanded web-enabled core,933,Friday,18:00
1,61b6a185-51b2-47f0-bfa2-7c6615e9e145,17,60,Expanded web-enabled core,403,Friday,10:00
1,6ddac491-3bfa-420a-8098-f3c741f530b6,22,31,Expanded web-enabled core,958,Thursday,17:00
